"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,3.24613333459321,0.996,0.554,0,"0","Sftpc"
"2",0,3.0676252412147,0.99,0.244,0,"0","Sftpa1"
"3",0,2.83857957358614,0.902,0.094,0,"0","Cxcl15"
"4",0,2.78562990877577,0.88,0.083,0,"0","Slc34a2"
"5",0,2.75171363152787,0.985,0.241,0,"0","Sftpb"
"6",0,2.61734227593967,0.937,0.137,0,"0","Sftpd"
"7",0,2.58530046715234,0.764,0.062,0,"0","Chi3l1"
"8",0,2.52251249000582,0.653,0.036,0,"0","Hc"
"9",0,2.49864875595074,0.778,0.087,0,"0","Scd1"
"10",0,2.43082024860543,0.39,0.11,0,"0","Lyz1"
"11",0,2.31462257971336,0.665,0.044,0,"0","Lamp3"
"12",0,2.22125313908103,0.537,0.028,0,"0","S100g"
"13",0,2.19779160473384,0.585,0.037,0,"0","Sfta2"
"14",0,1.97268047743844,0.495,0.07,0,"0","Lcn2"
"15",0,1.95106193182502,0.735,0.122,0,"0","Napsa"
"16",0,1.76555760273292,0.479,0.048,0,"0","Lpcat1"
"17",0,1.67478333601433,0.391,0.031,0,"0","Fasn"
"18",0,1.64967899763818,0.638,0.11,0,"0","Atp1b1"
"19",0,1.63303222396045,0.323,0.014,0,"0","Lgi3"
"20",0,1.59891259050244,0.456,0.056,0,"0","Dram1"
"21",0,2.31749154166061,0.85,0.132,0,"1","Arg1"
"22",0,1.41994375387637,0.919,0.463,0,"1","Spp1"
"23",0,1.25884463155078,0.81,0.297,0,"1","Ctsl"
"24",0,1.22831244037024,0.775,0.29,0,"1","Wfdc17"
"25",0,1.14556285793329,0.896,0.535,0,"1","Apoe"
"26",0,1.0717250168828,0.954,0.558,0,"1","Ctss"
"27",0,1.00830990656702,0.741,0.274,0,"1","C1qb"
"28",0,0.873561635613828,0.915,0.578,0,"1","Gm10116"
"29",7.08992889048103e-287,0.857231119058369,0.79,0.383,1.65904336037256e-282,"1","Lgals3"
"30",3.11965871348485e-285,1.12487976562079,0.402,0.104,7.30000138955456e-281,"1","Ecm1"
"31",8.99567229756674e-284,0.995752207370288,0.718,0.326,2.10498731763062e-279,"1","Ftl1"
